City,Country,Lat,Lng,Date,Max Temp (F),Cloudiness,Humidity,Wind Speed
safwah,sa,31.61,34.76,1580007373,45.0,0,86,2.24
oktyabrskiy,ru,-32.95,151.67,1580007374,102.0,40,37,11.41
olafsvik,is,-28.55,16.43,1580007374,65.26,97,81,10.2
hamilton,bm,18.93,-103.97,1580007374,77.0,40,88,2.15
dongying,cn,12.48,-16.55,1580007375,70.66,50,50,7.05
kotel,bg,41.14,-73.36,1580007375,48.0,90,93,10.29
fort-shevchenko,kz,61.32,23.75,1580007375,34.0,90,80,10.29
panjab,af,43.6,73.76,1580007376,21.63,100,96,5.28
langsa,id,-21.34,55.48,1580007211,73.4,90,83,9.17
beitbridge,zw,28.37,129.48,1580007215,71.6,75,94,8.05
jomalig,ph,66.42,112.4,1580007376,-27.4,100,74,6.71
umm lajj,sa,5.1,73.07,1580007308,81.61,100,70,7.23
tarudant,ma,69.65,18.96,1580007178,15.8,75,92,3.36
along,in,-41.17,146.35,1580007377,72.0,100,47,11.99
charters towers,au,-0.61,-47.36,1580007377,82.81,100,81,12.39
srandakan,id,-28.78,32.04,1580007378,77.38,1,81,26.22
takaka,nz,35.55,133.23,1580007378,51.8,75,57,5.82
christchurch,nz,14.9,-24.5,1580007378,73.94,21,63,18.75
formoso do araguaia,br,60.55,-151.26,1580007378,9.0,1,59,9.17
vanavara,ru,33.35,64.42,1580007379,9.09,6,52,4.59
inhambane,mz,-8.77,160.7,1580007379,83.89,0,73,4.07
acapulco,mx,-32.72,152.15,1580007379,102.0,40,37,11.41
luderitz,na,31.42,-103.49,1580007379,59.0,1,24,6.93
baykit,ru,60.73,77.59,1580007367,-0.4,75,84,6.71
mindelo,cv,44.85,-93.79,1580007380,28.99,90,73,5.79
osuna,es,-29.68,-53.81,1580007380,73.4,0,69,1.12
khonuu,ru,-2.39,40.44,1580007380,76.8,100,93,4.56
isla vista,us,0.2,30.0,1580007381,70.74,100,49,1.88
port shepstone,za,-34.05,23.37,1580007381,64.22,100,87,17.16
kolno,pl,-28.77,114.6,1580007381,82.4,15,58,12.75
vaitupu,wf,21.44,-157.84,1580007381,82.4,20,65,9.17
humberto de campos,br,-26.49,-49.07,1580007382,69.8,16,94,2.24
nieuw amsterdam,sr,65.85,44.24,1580007382,0.05,100,95,2.89
estevan,ca,-2.57,150.8,1580007237,84.87,48,72,11.7
bengkulu,id,56.55,27.72,1580007383,30.85,39,91,8.39
zhob,pk,-3.22,40.12,1580007383,76.05,100,91,3.44
viligili,mv,51.15,37.89,1580007383,28.78,34,90,12.03
coihaique,cl,12.3,78.8,1580007384,71.67,38,58,0.96
pavilosta,lv,68.05,39.51,1580007370,1.87,100,98,10.38
pierre,us,15.33,38.93,1580007384,50.77,65,79,2.68
gat,ly,25.38,97.4,1580007384,59.36,0,47,3.31
charlestown,kn,-18.06,13.84,1580007385,66.04,6,41,4.88
oranjemund,na,60.87,60.42,1580007386,1.06,100,97,3.4
armeria,mx,55.07,51.23,1580007386,13.96,41,93,2.51
oussouye,sn,38.89,-76.51,1580007387,45.0,90,87,10.02
burica,pa,-34.58,150.86,1580007387,98.01,40,44,11.41
westport,ie,53.45,89.53,1580007387,17.19,100,96,5.3
lempaala,fi,38.44,57.43,1580007388,29.28,0,80,9.48
shu,kz,-4.76,11.86,1580007388,81.21,97,85,7.65
saint-pierre,pm,14.1,-1.63,1580007388,69.21,97,10,9.4
naze,jp,32.77,-108.28,1580007293,44.01,1,52,11.41
udachnyy,ru,-25.4,-70.48,1580007389,67.77,0,83,1.72
eydhafushi,mv,50.23,-63.6,1580007361,15.8,90,85,2.24
tromso,no,49.75,-77.63,1580007389,28.4,90,92,4.7
devonport,au,37.46,-122.43,1580007390,61.0,90,93,4.7
salinopolis,br,58.23,8.12,1580007390,45.0,100,93,6.93
richards bay,za,-19.98,57.61,1580007391,77.0,75,78,11.41
sakaiminato,jp,-43.3,-65.1,1580007391,72.3,0,42,20.87
sao filipe,cv,51.05,142.27,1580007392,-0.63,7,80,4.59
kenai,us,2.04,45.34,1580007378,81.23,100,82,23.13
taywarah,af,34.02,-84.36,1580007392,39.2,1,73,6.93
auki,sb,-22.28,166.46,1580007306,91.4,75,49,14.99
nelson bay,au,-23.68,22.79,1580007393,71.2,6,64,3.38
pecos,us,18.18,-76.46,1580007393,77.0,75,78,10.29
strezhevoy,ru,-9.17,-60.63,1580007263,74.91,100,97,0.51
waconia,us,42.95,72.76,1580007393,20.95,100,97,4.36
santa maria,cv,53.57,52.8,1580007394,21.07,100,95,3.38
witu,ke,66.0,111.5,1580007188,-27.4,100,74,6.71
kilembe,ug,61.99,-49.67,1580007394,18.12,86,64,23.8
plettenberg bay,za,21.88,-82.8,1580007394,73.13,0,83,18.48
geraldton,au,18.42,84.05,1580007395,74.75,59,71,3.18
ahuimanu,us,24.83,-104.83,1580007395,46.72,100,77,0.76
jaragua do sul,br,60.9,131.96,1580007378,-30.8,0,93,1.1
mezen,ru,33.77,120.25,1580007395,43.92,100,81,17.25
kavieng,pg,-12.02,17.48,1580007396,63.91,100,97,2.24
velyka kisnytsya,ua,31.92,35.2,1580007396,45.0,0,86,2.24
ludza,lv,36.1,0.42,1580007396,47.77,33,77,1.88
malindi,ke,42.8,93.45,1580007396,11.79,0,62,1.41
novikovo,ru,22.68,-3.98,1580007397,67.41,10,26,4.63
chengam,in,33.14,-117.17,1580007352,62.01,90,87,3.36
ostrovnoy,ru,26.54,-77.06,1580007328,71.67,39,79,13.62
asmara,er,11.03,20.28,1580007397,56.32,36,21,6.35
myitkyina,mm,67.45,153.68,1580007398,-23.49,100,92,2.33
opuwo,na,1.33,-74.84,1580007398,75.79,100,85,0.92
umzimvubu,za,32.61,35.33,1580007398,43.32,0,75,2.66
polunochnoye,ru,-20.44,-53.76,1580007398,70.88,0,76,2.35
kollumerland,nl,38.47,106.27,1580007399,31.51,89,61,3.96
novosheshminsk,ru,-34.65,-58.62,1580007399,81.0,0,54,10.29
mayo,ca,49.01,24.37,1580007399,28.99,83,75,1.36
flinders,au,58.45,92.17,1580007399,11.12,88,94,5.46
biskamzha,ru,42.91,73.27,1580007400,20.53,92,96,4.92
makung,tw,28.66,-17.92,1580007107,60.8,29,55,6.93
aflu,dz,51.23,-58.65,1580007400,14.79,40,79,10.8
baherden,tm,3.48,34.15,1580007400,68.07,81,67,4.52
loandjili,cg,21.12,70.12,1580007382,70.77,0,52,11.92
djibo,bf,19.91,109.69,1580007401,62.2,96,85,17.81
silver city,us,51.38,1.39,1580007401,46.0,90,100,10.29
taltal,cl,25.7,100.18,1580007401,48.34,0,40,2.66
havre-saint-pierre,ca,1.33,172.98,1580007402,89.6,40,70,5.82
matagami,ca,-9.01,-35.22,1580007185,81.54,40,84,15.19
half moon bay,us,0.52,25.2,1580007402,68.49,75,50,0.89
tveit,no,-5.55,150.14,1580007402,84.18,85,81,3.58
cap malheureux,mu,-8.14,159.59,1580007276,88.57,0,59,2.08
rawson,ar,30.3,111.5,1580007403,42.01,75,73,9.42
mgachi,ru,62.58,6.13,1580007203,46.4,100,81,18.34
mogadishu,so,33.25,75.25,1580007403,32.38,0,83,4.29
roswell,us,50.9,142.16,1580007404,-4.18,0,87,13.02
noumea,nc,12.78,45.04,1580007157,76.86,69,77,7.23
kang,bw,57.21,41.93,1580007404,23.58,98,92,12.3
port antonio,jm,-17.73,-149.15,1580007404,86.0,40,70,8.05
aripuana,br,50.03,-66.87,1580007405,17.6,75,67,5.82
lugovoy,ru,3.87,-67.92,1580007405,77.36,63,87,2.37
asekeyevo,ru,46.54,138.33,1580007405,15.42,100,52,6.93
aykhal,ru,3.38,-59.8,1580007405,82.09,100,59,12.71
paamiut,gl,-15.82,-50.61,1580007406,70.21,91,98,2.68
nueva gerona,cu,14.4,46.47,1580007227,60.89,7,61,9.31
narasannapeta,in,65.42,-52.9,1580007406,13.89,100,85,13.18
durango,us,39.7,119.15,1580007406,48.99,40,52,9.93
amga,ru,-3.94,122.5,1580007407,88.68,22,65,4.12
hede,cn,20.93,-17.03,1580007364,64.4,100,68,20.8
camacupa,ao,3.04,29.54,1580007407,65.1,100,43,2.1
palestine,us,34.93,43.49,1580007407,41.83,0,64,7.58
sidi ali,dz,-7.61,15.06,1580007196,66.9,100,93,1.99
hami,cn,4.71,-74.23,1580007408,59.0,75,87,3.36
taoudenni,ml,63.76,121.62,1580007408,-27.17,93,96,10.42
san marcos,mx,36.62,101.77,1580007408,18.23,0,45,5.37
marsh harbour,bs,-6.88,112.38,1580007409,87.46,18,64,4.07
am timan,td,28.92,80.33,1580007409,52.57,0,72,0.96
srednekolymsk,ru,24.47,54.37,1580007409,64.4,20,63,13.87
cartagena del chaira,co,25.42,-101.0,1580007325,62.6,75,55,3.74
sulam,il,-19.11,-51.73,1580007410,72.3,69,90,4.07
ribas do rio pardo,br,27.63,93.83,1580007410,52.14,0,48,1.79
yinchuan,cn,49.63,41.73,1580007410,32.36,100,89,16.04
moron,mn,53.73,119.77,1580007410,-2.97,64,89,2.48
kalush,ua,29.03,21.55,1580007317,50.99,43,46,9.4
yeniseysk,ru,51.47,140.78,1580007411,-2.15,49,76,6.8
oytal,kz,51.16,54.99,1580007411,30.09,100,96,19.22
los llanos de aridane,es,-3.37,135.48,1580007310,88.45,52,61,5.93
saint-augustin,ca,53.92,-122.75,1580007412,33.8,1,74,4.7
kaabong,ug,-11.37,-38.33,1580007412,75.9,86,88,8.79
mangrol,in,-1.57,9.26,1580007412,75.56,2,95,1.48
lingao,cn,-3.41,-39.03,1580007412,84.2,20,79,9.17
margate,za,46.41,-105.84,1580007413,37.4,40,64,11.36
